Item,Units Needed,Price Per Unit,Total,Additional Comments,Lengths Used (in),Lengths Per Unit (in),Lengths Bought (in)
Double Laminated Plywood,5,$127.00,$635.00,Refer to Cut Lists Here,,,
Single Angle Extrusion,8,$12.80,$102.40,Dimensions to the right are measured using SWX,596.5,79,632
Tongue Extrusion,2,$22.70,$45.40,Dimensions to the right are measured using SWX,257.75,144,288
Groove Extrusion,3,$24.00,$72.00,Dimensions to the right are measured using SWX,381.625,144,432
U-Shape Extrusion,3,$12.40,$37.20,Dimensions to the right are measured using SWX,205.75,78,234
Panel Joiner,1,$48.20,$48.20,Dimensions to the right are measured using SWX,71,79,79
Latches -  Recessed,14,$11.85,$165.90,,,,
Latches - Surface,2,$6.50,$13.00,,,,
Handles,16,$6.40,$102.40,Refer to Super Pit Pics for placement instruction,,,
Corners,8,$2.10,$16.80,Refer to Super Pit Pics for placement instruction,,,
Hinge,1,$16.60,$16.60,,,,
Rivets - Type 1,850,$0.12,$102.00,,,,
Rivets - Type 2,850,$0.11,$93.50,,,,
Backing Washers,850,$0.09,$76.50,,,,
Subtotal for a Single Super Pit Half,,,"$1,526.90",Goal: Sub-2K (We did it!!),,,
Another Super Pit Half,1,"$1,526.90","$1,526.90",,,,
Wheels/Casters,6,$28.60,$171.60,"Casters from Husky Toolbox will be on one, these will be on the other",,,
Butcher Block,1,$189.00,$189.00,Needs finish,,,
6' Husky Tool Bench,1,"$1,298.00","$1,298.00",,,,
Grand Total,,,"$4,712.40",Before Tax plus S&H,,,
